iter	Passed	Remaining
402	12741	4647
403	12767	4613
404	12794	4580
405	12839	4553
406	12873	4522
407	12907	4492
408	12945	4463
409	12968	4428
410	13005	4398
411	13035	4366
412	13059	4332
413	13090	4300
414	13132	4271
415	13155	4237
416	13191	4207
417	13225	4176
418	13250	4142
419	13274	4108
420	13310	4078
421	13334	4044
422	13370	4014
423	13414	3986
424	13445	3954
425	13487	3926
426	13514	3892
427	13536	3858
428	13563	3825
429	13611	3798
430	13652	3769
431	13692	3740
432	13735	3711
433	13776	3682
434	13806	3649
435	13832	3616
436	13855	3582
437	13902	3555
438	13926	3521
439	13967	3491
440	13996	3459
441	14031	3428
442	14055	3394
443	14086	3363
444	14121	3332
445	14144	3298
446	14168	3264
447	14209	3235
448	14231	3201
449	14253	3167
450	14289	3136
451	14326	3106
452	14349	3072
453	14374	3039
454	14400	3006
455	14433	2975
456	14474	2945
457	14500	2912
458	14525	2879
459	14548	2846
460	14583	2815
461	14626	2785
462	14647	2752
463	14683	2721
464	14708	2688
465	14746	2658
466	14770	2625
467	14804	2593
468	14855	2565
469	14879	2532
470	14918	2502
471	14963	2472
472	14996	2441
473	15039	2411
474	15066	2378
475	15090	2345
476	15130	2315
477	15168	2284
478	15193	2252
479	15236	2221
480	15271	2190
481	15309	2159
482	15345	2128
483	15373	2096
484	15409	2065
485	15436	2032
486	15472	2001
487	15510	1970
488	15550	1939
489	15572	1906
490	15605	1875
491	15640	1843
492	15668	1811
493	15698	1779
494	15723	1747
495	15746	1714
496	15783	1683
497	15808	1650
498	15860	1621
499	15901	1590
500	15936	1558
501	15978	1527
502	16001	1495
503	16036	1463
504	16070	1432
505	16096	1399
506	16134	1368
507	16174	1337
508	16207	1305
509	16230	1272
510	16258	1240
511	16280	1208
512	16302	1175
513	16337	1144
514	16379	1113
515	16420	1082
516	16456	1050
517	16489	1018
518	16518	986
519	16539	954
520	16566	922
521	16592	890
522	16637	858
523	16661	826
524	16690	794
525	16732	763
526	16755	731
527	16792	699
528	16826	667
529	16857	636
530	16906	604
531	16931	572
532	16964	541
533	16995	509
534	17019	477
535	17060	445
536	17085	413
537	17117	381
538	17139	349
539	17173	318
540	17206	286
541	17232	254
542	17269	222
543	17291	190
544	17315	158
545	17343	127
546	17393	95
547	17420	63
548	17447	31
549	17483	0
