iter	RMSE
269	6.037945701
270	6.037890807
271	6.037624098
272	6.037501289
273	6.037285113
274	6.037059354
275	6.036810219
276	6.036442872
277	6.036233463
278	6.035991183
279	6.035798321
280	6.035717929
281	6.035358637
282	6.035284634
283	6.035062891
284	6.034717771
285	6.034503776
286	6.034179241
287	6.033972508
288	6.033959872
289	6.032533827
290	6.0322252
291	6.032034748
292	6.031790002
293	6.031732257
294	6.031434689
295	6.031392027
296	6.031263968
297	6.031253073
298	6.031204018
299	6.029928137
300	6.029645742
301	6.029428952
302	6.029287111
303	6.029277111
304	6.029019002
305	6.028972876
306	6.028820132
307	6.02864591
308	6.028601578
309	6.028592193
310	6.028389656
311	6.028147197
312	6.028022033
313	6.02787778
314	6.027838471
315	6.027678515
316	6.027669957
317	6.027650782
318	6.027421386
319	6.02738872
320	6.027168166
321	6.027036065
322	6.027005161
323	6.02699694
324	6.026237368
325	6.02602216
326	6.025896245
327	6.025888265
328	6.025744017
329	6.025683197
330	6.025543901
331	6.025337007
332	6.025133532
333	6.02494142
334	6.024826359
335	6.024635933
336	6.02462858
337	6.024445291
338	6.0243325
339	6.024273707
340	6.024266494
341	6.02339212
342	6.023244407
343	6.02307544
344	6.023051764
345	6.023044905
346	6.023038132
347	6.022932643
348	6.022909807
349	6.022746766
350	6.022592392
351	6.022585792
352	6.022564309
353	6.02241593
354	6.022311645
355	6.021884143
356	6.021735847
357	6.021640131
358	6.021621399
359	6.02160201
360	6.021459096
361	6.020784514
362	6.020693944
363	6.020687729
364	6.020568081
365	6.020461676
366	6.020328009
367	6.020243219
368	6.02022584
369	6.020127409
370	6.020121492
371	6.020115649
372	6.020000383
373	6.019905114
374	6.019899489
375	6.019145425
376	6.018047689
377	6.018042368
378	6.017379152
379	6.017260319
380	6.017160376
381	6.017049398
382	6.016943736
383	6.016841839
384	6.016836893
385	6.016782682
386	6.016777824
387	6.016763922
388	6.016732211
389	6.016718539
390	6.016713801
391	6.016629093
392	6.016534066
393	6.016529499
394	6.016433327
395	6.016353972
396	6.016341568
397	6.016337008
398	6.016246852
399	6.015947557
400	6.015854394
401	6.015764706
402	6.0156792
403	6.015675028
404	6.01567091
405	6.015596606
406	6.015508577
407	6.015423786
408	6.014865263
409	6.01485472
410	6.014845976
411	6.01476285
412	6.014752692
413	6.014740475
414	6.014668709
415	6.014664936
416	6.014090797
417	6.014015325
418	6.014011628
419	6.01400798
420	6.013928662
421	6.013862399
422	6.013788357
423	6.013717438
424	6.013710348
425	6.013152993
426	6.013141988
427	6.013138638
428	6.01312791
429	6.012551024
430	6.012034071
431	6.011977072
432	6.011922067
433	6.011862758
434	6.011393502
435	6.011390366
436	6.011383688
437	6.01132763
438	6.011320263
439	6.011271687
440	6.011113242
441	6.011040704
442	6.011037994
443	6.01102622
444	6.010971866
445	6.010969255
446	6.01096264
447	6.010910721
448	6.010908181
449	6.010905675
450	6.010240406
451	6.010187661
452	6.01018175
453	6.010179419
454	6.010120278
455	6.010055227
456	6.009969795
457	6.009917685
458	6.009868007
459	6.009820648
460	6.009758876
461	6.009703
462	6.009625192
463	6.009569688
464	6.009565057
465	6.009511744
466	6.009507296
467	6.009454594
468	6.00940267
469	6.009400542
470	6.009350669
471	6.009302543
472	6.009250413
473	6.009203629
474	6.009201622
475	6.009197726
476	6.009155531
477	6.009114859
478	6.009112932
479	6.008618961
480	6.008581115
481	6.008519776
482	6.008482878
483	6.008479845
484	6.008427886
485	6.008423432
486	6.008387142
487	6.008352163
488	6.007828281
489	6.007744898
490	6.007710881
491	6.007675548
492	6.007636656
493	6.007592149
494	6.00758975
495	6.007553062
496	6.007519773
497	6.007439826
498	6.007404142
499	6.007371875
500	6.00736902
501	6.00733599
502	6.007300412
503	6.007269848
504	6.007240397
505	6.007238284
506	6.007208258
507	6.007179378
508	6.007138191
509	6.007136248
510	6.007053871
511	6.007052095
512	6.007050669
513	6.006608629
514	6.006005364
515	6.005974359
516	6.005946157
517	6.005917603
518	6.005880431
519	6.00587917
520	6.005877925
521	6.005876423
522	6.005655141
523	6.005653896
524	6.005652453
525	6.005624007
526	6.005594169
527	6.005567696
528	6.005565931
529	6.005564603
530	6.005539133
531	6.005537943
532	6.005173972
533	6.005140982
534	6.005139714
535	6.005090334
536	6.005089111
537	6.005058029
538	6.005032448
539	6.005006849
540	6.004982201
541	6.004952943
542	6.004928804
543	6.004927719
544	6.004903294
545	6.004699045
546	6.004652085
547	6.004306975
548	6.004305515
549	6.004280685
